,LandBurned,ControlRates
0,1024.0,0.0
1,968.0,0.010416666666666666
2,893.0,0.020833333333333332
3,845.0,0.03125
4,753.0,0.041666666666666664
5,682.0,0.05208333333333333
6,647.0,0.0625
7,530.0,0.07291666666666666
8,497.0,0.08333333333333333
9,477.0,0.09375
10,421.0,0.10416666666666666
11,367.0,0.11458333333333333
12,350.0,0.125
13,249.0,0.13541666666666666
14,219.0,0.14583333333333331
15,194.0,0.15625
16,172.0,0.16666666666666666
17,156.0,0.17708333333333331
18,145.0,0.1875
19,141.0,0.19791666666666666
20,130.0,0.20833333333333331
21,114.0,0.21875
22,102.0,0.22916666666666666
23,94.0,0.23958333333333331
24,72.0,0.25
